City,State,Zip Code,1 BR - Difference,1 BR - Ratio,2 BR- Difference,2 BR - Ratio,3 BR - Difference,3 BR - Ratio,4 BR - Difference,4 BR - Ratio,5 BR - Difference,5 BR - Ratio,6 BR - Difference,6 BR - Ratio
Washington,DC,20001,1.534,-1088,1.363,-1074,0,0,0,0,0,0,0,0
Washington,DC,20002,1.323,-570,2.929,-1833,0,0,0,0,0,0,0,0
Washington,DC,20003,1.133,-285,1.963,-1682,0,0,0,0,0,0,0,0
Washington,DC,20004,0,0,0,0,0,0,0,0,0,0,0,0
Washington,DC,20006,0,0,0,0,0,0,0,0,0,0,0,0
Washington,DC,20007,1.057,-117,0,0,0,0,0,0,0,0,0,0
Washington,DC,20008,1.23,-448,1.329,-805,0,0,0,0,0,0,0,0
Washington,DC,20009,1.224,-492,1.206,-680,0,0,0,0,0,0,0,0
Washington,DC,20010,3.157,-1769,1.127,-410,0,0,0,0,0,0,0,0
Washington,DC,20011,0,0,0,0,0,0,0,0,0,0,0,0
Washington,DC,20012,0,0,0,0,0,0,0,0,0,0,0,0
Washington,DC,20015,0,0,0,0,0,0,0,0,0,0,0,0
Washington,DC,20016,1.216,-415,0,0,0,0,0,0,0,0,0,0
Washington,DC,20017,0,0,0,0,0,0,0,0,0,0,0,0
Washington,DC,20018,0,0,0,0,0,0,0,0,0,0,0,0
Washington,DC,20019,0,0,0,0,0,0,0,0,0,0,0,0
Washington,DC,20019,0,0,0,0,0,0,0,0,0,0,0,0
Washington,DC,20020,0,0,0,0,0,0,0,0,0,0,0,0
Washington,DC,20024,1.358,-661,0,0,0,0,0,0,0,0,0,0
Washington,DC,20032,0,0,0,0,0,0,0,0,0,0,0,0
Washington,DC,20036,0,0,0,0,0,0,0,0,0,0,0,0
Washington,DC,20037,0,0,0,0,0,0,0,0,0,0,0,0
Washington,DC,20052,0,0,0,0,0,0,0,0,0,0,0,0
Washington,DC,20245,0,0,0,0,0,0,0,0,0,0,0,0
Washington,DC,20722,0,0,0,0,0,0,0,0,0,0,0,0
Bethesda,MD,20816,0,0,0,0,0,0,0,0,0,0,0,0
Bethesda,MD,20817,0,0,0,0,0,0,0,0,0,0,0,0
Bladensburg,MD,20710,0,0,0,0,0,0,0,0,0,0,0,0
Brentwood,MD,20722,0,0,0,0,0,0,0,0,0,0,0,0
Capitol Heights,MD,20743,0,0,0,0,0,0,0,0,0,0,0,0
Chevy Chase,MD,20815,0,0,1.82,-2010,0,0,0,0,0,0,0,0
College Park,MD,20740,0,0,0,0,0,0,0,0,0,0,0,0
District Heights,MD,20747,0,0,0,0,0,0,0,0,0,0,0,0
Fort Washington,MD,20744,0,0,0,0,0,0,0,0,0,0,0,0
Hyattsville,MD,20781,0,0,1.537,-349,0,0,0,0,0,0,0,0
Hyattsville,MD,20782,0,0,0,0,0,0,0,0,0,0,0,0
Hyattsville,MD,20783,0,0,0,0,0,0,0,0,0,0,0,0
Hyattsville,MD,20785,0,0,0,0,0,0,0,0,0,0,0,0
Kensington,MD,20895,0,0,0,0,0,0,0,0,0,0,0,0
Mount Rainier,MD,20712,0,0,0,0,0,0,0,0,0,0,0,0
Oxon Hill,MD,20745,0,0,0,0,0,0,0,0,0,0,0,0
Rockville,MD,20850,0,0,0,0,0,0,0,0,0,0,0,0
Rockville,MD,20852,1.237,-397,1.22,-461,0,0,0,0,0,0,0,0
Rockville,MD,20853,0,0,0,0,0,0,0,0,0,0,0,0
Silver Spring,MD,20901,0,0,0,0,0,0,0,0,0,0,0,0
Silver Spring,MD,20903,0,0,0,0,0,0,0,0,0,0,0,0
Silver Spring,MD,20904,0,0,0,0,0,0,0,0,0,0,0,0
Silver Spring,MD,20906,0,0,0,0,0,0,0,0,0,0,0,0
Silver Spring,MD,20910,0,0,0,0,0,0,0,0,0,0,0,0
Suitland,MD,20746,0,0,0,0,0,0,0,0,0,0,0,0
Takoma Park,MD,20912,0,0,0,0,0,0,0,0,0,0,0,0
Temple Hills,MD,20748,0,0,0,0,0,0,0,0,0,0,0,0
Waldorf,MD,20601,0,0,0,0,0,0,0,0,0,0,0,0
Aldie,VA,20105,0,0,0,0,0,0,0,0,0,0,0,0
Alexandria,VA,22301,1.47,-588,0,0,0,0,0,0,0,0,0,0
Alexandria,VA,22302,0,0,0,0,0,0,0,0,0,0,0,0
Alexandria,VA,22303,0,0,1.349,-610,0,0,0,0,0,0,0,0
Alexandria,VA,22304,1.057,-84,1.141,-264,0,0,0,0,0,0,0,0
Alexandria,VA,22305,0,0,0,0,0,0,0,0,0,0,0,0
Alexandria,VA,22306,0,0,0,0,0,0,0,0,0,0,0,0
Alexandria,VA,22307,0,0,1.011,-17,0,0,0,0,0,0,0,0
Alexandria,VA,22308,0,0,0,0,0,0,0,0,0,0,0,0
Alexandria,VA,22309,0,0,0,0,0,0,0,0,0,0,0,0
Alexandria,VA,22310,0,0,0,0,0,0,0,0,0,0,0,0
Alexandria,VA,22311,0,0,0,0,0,0,0,0,0,0,0,0
Alexandria,VA,22312,0,0,1.982,-864,0,0,0,0,0,0,0,0
Alexandria,VA,22314,1.141,-282,0,0,0,0,0,0,0,0,0,0
Alexandria,VA,22315,0,0,1.048,-92,0,0,0,0,0,0,0,0
Annandale,VA,22003,0.99,13,0,0,0,0,0,0,0,0,0,0
Arlington,VA,22201,1.295,-560,0,0,0,0,0,0,0,0,0,0
Arlington,VA,22202,0,0,0,0,0,0,0,0,0,0,0,0
Arlington,VA,22203,1.063,-159,0,0,0,0,0,0,0,0,0,0
Arlington,VA,22204,0.896,166,1.116,-197,0,0,0,0,0,0,0,0
Arlington,VA,22205,0,0,0,0,0,0,0,0,0,0,0,0
Arlington,VA,22206,0,0,1.285,-512,0,0,0,0,0,0,0,0
Arlington,VA,22207,0,0,0,0,0,0,0,0,0,0,0,0
Arlington,VA,22209,0.679,1220,0,0,0,0,0,0,0,0,0,0
Arlington,VA,22213,0,0,0,0,0,0,0,0,0,0,0,0
Ashburn,VA,20147,0,0,1.363,-571,0,0,0,0,0,0,0,0
Ashburn,VA,20148,0,0,0,0,0,0,0,0,0,0,0,0
Bristow,VA,20136,0,0,0,0,0,0,0,0,0,0,0,0
Burke,VA,22015,0,0,0,0,0,0,0,0,0,0,0,0
Burke,VA,22015,0,0,0,0,0,0,0,0,0,0,0,0
Catharpin,VA,20143,0,0,0,0,0,0,0,0,0,0,0,0
Centreville,VA,20120,0,0,0,0,0,0,0,0,0,0,0,0
Centreville,VA,20121,0,0,0,0,0,0,0,0,0,0,0,0
Chantilly,VA,20151,0,0,0,0,0,0,0,0,0,0,0,0
Chantilly,VA,20152,0,0,0,0,0,0,0,0,0,0,0,0
Clifton,VA,20124,0,0,0,0,0,0,0,0,0,0,0,0
Dumfries,VA,22026,0,0,0,0,0,0,0,0,0,0,0,0
Dunn Loring,VA,22027,0,0,0,0,0,0,0,0,0,0,0,0
Fairfax,VA,22030,0,0,0,0,0,0,0,0,0,0,0,0
Fairfax,VA,22031,0,0,0,0,0,0,0,0,0,0,0,0
Fairfax,VA,22032,0,0,0,0,0,0,0,0,0,0,0,0
Fairfax,VA,22033,0,0,1.11,-195,1.162,-300,0,0,0,0,0,0
Fairfax Station,VA,22039,0,0,0,0,0,0,0,0,0,0,0,0
Falls Church,VA,22041,0.976,35,0,0,0,0,0,0,0,0,0,0
Falls Church,VA,22042,1.968,-822,0,0,0,0,0,0,0,0,0,0
Falls Church,VA,22043,0,0,1.015,-34,0,0,0,0,0,0,0,0
Falls Church,VA,22044,0,0,1.051,-91,0,0,0,0,0,0,0,0
Falls Church,VA,22046,0,0,1.121,-194,0,0,0,0,0,0,0,0
Fort Belvoir,VA,22060,0,0,0,0,0,0,0,0,0,0,0,0
Gainesville,VA,20155,0,0,0,0,0,0,0,0,0,0,0,0
Great Falls,VA,22066,0,0,0,0,0,0,0,0,0,0,0,0
Haymarket,VA,20169,0,0,0,0,0,0,0,0,0,0,0,0
Herndon,VA,20170,0,0,0,0,0,0,0,0,0,0,0,0
Herndon,VA,20171,0,0,0,0,0,0,0,0,0,0,0,0
Leesburg,VA,20175,0,0,0,0,0,0,0,0,0,0,0,0
Leesburg,VA,20176,0,0,0,0,0,0,0,0,0,0,0,0
Lorton,VA,22079,0,0,0,0,0,0,0,0,0,0,0,0
Manassas,VA,20109,0,0,0,0,0,0,0,0,0,0,0,0
Manassas,VA,20110,0,0,1.057,-71,0,0,0,0,0,0,0,0
Manassas,VA,20111,0,0,0,0,0,0,0,0,0,0,0,0
Manassas,VA,20112,0,0,0,0,0,0,0,0,0,0,0,0
McLean,VA,22101,0,0,0,0,0,0,0,0,0,0,0,0
McLean,VA,22102,0,0,1.189,-397,0,0,0,0,0,0,0,0
Nokesville,VA,20181,0,0,0,0,0,0,0,0,0,0,0,0
Oakton,VA,22124,0,0,1.201,-342,0,0,0,0,0,0,0,0
Occoquan,VA,22125,0,0,0,0,0,0,0,0,0,0,0,0
Reston,VA,20190,0,0,2.189,-1784,0,0,0,0,0,0,0,0
Reston,VA,20191,0,0,0.85,292,0,0,0,0,0,0,0,0
Reston,VA,20194,0,0,0,0,0,0,0,0,0,0,0,0
Springfield,VA,22150,0,0,0,0,0,0,0,0,0,0,0,0
Springfield,VA,22151,0,0,0,0,0,0,0,0,0,0,0,0
Springfield,VA,22152,0,0,0,0,0,0,0,0,0,0,0,0
Springfield,VA,22153,0,0,0,0,0,0,0,0,0,0,0,0
Sterling,VA,20164,0,0,0,0,0,0,0,0,0,0,0,0
Sterling,VA,20165,0,0,0,0,0,0,0,0,0,0,0,0
Sterling,VA,20166,0,0,0,0,0,0,0,0,0,0,0,0
Triangle,VA,22172,0,0,0,0,0,0,0,0,0,0,0,0
Vienna,VA,22180,0,0,0,0,0,0,0,0,0,0,0,0
Vienna,VA,22181,0,0,0,0,0,0,0,0,0,0,0,0
Vienna,VA,22182,0,0,0,0,0,0,0,0,0,0,0,0
Woodbridge,VA,22191,0,0,0,0,0,0,0,0,0,0,0,0
Woodbridge,VA,22192,0,0,0,0,0,0,0,0,0,0,0,0
Woodbridge,VA,22193,0,0,0,0,0,0,0,0,0,0,0,0
